,1 ADULT,1 ADULT,1 ADULT,1 ADULT,2 ADULTS(1 WORKING),2 ADULTS(1 WORKING),2 ADULTS(1 WORKING),2 ADULTS(1 WORKING),2 ADULTS(BOTH WORKING),2 ADULTS(BOTH WORKING),2 ADULTS(BOTH WORKING),2 ADULTS(BOTH WORKING),County,State,URL,Unnamed: 0_level_0
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Bryan County,Oklahoma,https://livingwage.mit.edu/counties/40013,Minimum Wage
0,$12.75,$27.65,$34.57,$43.82,$21.73,$26.14,$29.75,$31.13,$10.86,$15.21,$19.17,$22.00,Caddo County,Oklahoma,https://livingwage.mit.edu/counties/40015,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Caddo County,Oklahoma,https://livingwage.mit.edu/counties/40015,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Caddo County,Oklahoma,https://livingwage.mit.edu/counties/40015,Minimum Wage
0,$14.30,$29.22,$36.14,$46.50,$23.17,$27.71,$31.33,$33.81,$11.59,$16.00,$19.95,$23.34,Canadian County,Oklahoma,https://livingwage.mit.edu/counties/40017,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Canadian County,Oklahoma,https://livingwage.mit.edu/counties/40017,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Canadian County,Oklahoma,https://livingwage.mit.edu/counties/40017,Minimum Wage
0,$13.49,$27.10,$33.26,$41.79,$22.30,$26.36,$29.98,$31.40,$11.15,$14.94,$18.51,$20.98,Carter County,Oklahoma,https://livingwage.mit.edu/counties/40019,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Carter County,Oklahoma,https://livingwage.mit.edu/counties/40019,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Carter County,Oklahoma,https://livingwage.mit.edu/counties/40019,Minimum Wage
0,$13.35,$27.65,$34.57,$44.27,$22.03,$26.14,$29.75,$31.59,$11.01,$15.21,$19.17,$22.22,Cherokee County,Oklahoma,https://livingwage.mit.edu/counties/40021,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Cherokee County,Oklahoma,https://livingwage.mit.edu/counties/40021,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Cherokee County,Oklahoma,https://livingwage.mit.edu/counties/40021,Minimum Wage
0,$12.61,$26.88,$33.04,$41.81,$21.73,$26.14,$29.75,$31.41,$10.86,$14.83,$18.40,$20.99,Choctaw County,Oklahoma,https://livingwage.mit.edu/counties/40023,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Choctaw County,Oklahoma,https://livingwage.mit.edu/counties/40023,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Choctaw County,Oklahoma,https://livingwage.mit.edu/counties/40023,Minimum Wage
0,$13.07,$26.88,$33.04,$42.48,$21.85,$26.14,$29.75,$32.09,$10.92,$14.83,$18.40,$21.33,Cimarron County,Oklahoma,https://livingwage.mit.edu/counties/40025,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Cimarron County,Oklahoma,https://livingwage.mit.edu/counties/40025,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Cimarron County,Oklahoma,https://livingwage.mit.edu/counties/40025,Minimum Wage
0,$14.30,$29.22,$36.14,$46.50,$23.17,$27.71,$31.33,$33.81,$11.59,$16.00,$19.95,$23.34,Cleveland County,Oklahoma,https://livingwage.mit.edu/counties/40027,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Cleveland County,Oklahoma,https://livingwage.mit.edu/counties/40027,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Cleveland County,Oklahoma,https://livingwage.mit.edu/counties/40027,Minimum Wage
0,$13.07,$26.88,$33.04,$42.26,$21.73,$26.14,$29.75,$31.87,$10.86,$14.83,$18.40,$21.22,Coal County,Oklahoma,https://livingwage.mit.edu/counties/40029,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Coal County,Oklahoma,https://livingwage.mit.edu/counties/40029,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Coal County,Oklahoma,https://livingwage.mit.edu/counties/40029,Minimum Wage
0,$13.38,$28.08,$35.00,$45.41,$22.11,$26.58,$30.19,$32.72,$11.06,$15.43,$19.38,$22.79,Comanche County,Oklahoma,https://livingwage.mit.edu/counties/40031,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Comanche County,Oklahoma,https://livingwage.mit.edu/counties/40031,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Comanche County,Oklahoma,https://livingwage.mit.edu/counties/40031,Minimum Wage
0,$13.07,$26.88,$33.04,$42.22,$22.31,$26.14,$29.75,$31.83,$11.16,$14.83,$18.40,$21.20,Cotton County,Oklahoma,https://livingwage.mit.edu/counties/40033,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Cotton County,Oklahoma,https://livingwage.mit.edu/counties/40033,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Cotton County,Oklahoma,https://livingwage.mit.edu/counties/40033,Minimum Wage
0,$13.08,$27.02,$33.18,$41.97,$22.05,$26.28,$29.90,$31.58,$11.03,$14.90,$18.47,$21.07,Craig County,Oklahoma,https://livingwage.mit.edu/counties/40035,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Craig County,Oklahoma,https://livingwage.mit.edu/counties/40035,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Craig County,Oklahoma,https://livingwage.mit.edu/counties/40035,Minimum Wage
0,$13.68,$29.16,$36.08,$46.27,$22.97,$27.65,$31.27,$33.58,$11.49,$15.97,$19.92,$23.22,Creek County,Oklahoma,https://livingwage.mit.edu/counties/40037,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Creek County,Oklahoma,https://livingwage.mit.edu/counties/40037,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Creek County,Oklahoma,https://livingwage.mit.edu/counties/40037,Minimum Wage
0,$13.07,$26.88,$33.04,$42.38,$21.99,$26.14,$29.75,$31.99,$10.99,$14.83,$18.40,$21.28,Custer County,Oklahoma,https://livingwage.mit.edu/counties/40039,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Custer County,Oklahoma,https://livingwage.mit.edu/counties/40039,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Custer County,Oklahoma,https://livingwage.mit.edu/counties/40039,Minimum Wage
0,$12.95,$26.88,$33.04,$41.68,$21.73,$26.14,$29.75,$31.29,$10.86,$14.83,$18.40,$20.93,Delaware County,Oklahoma,https://livingwage.mit.edu/counties/40041,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Delaware County,Oklahoma,https://livingwage.mit.edu/counties/40041,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Delaware County,Oklahoma,https://livingwage.mit.edu/counties/40041,Minimum Wage
0,$13.25,$27.13,$33.29,$41.83,$21.91,$26.39,$30.00,$31.44,$10.96,$14.96,$18.52,$21.00,Dewey County,Oklahoma,https://livingwage.mit.edu/counties/40043,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Dewey County,Oklahoma,https://livingwage.mit.edu/counties/40043,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Dewey County,Oklahoma,https://livingwage.mit.edu/counties/40043,Minimum Wage
0,$13.28,$27.17,$33.32,$41.88,$22.15,$26.43,$30.04,$31.49,$11.08,$14.97,$18.54,$21.03,Ellis County,Oklahoma,https://livingwage.mit.edu/counties/40045,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Ellis County,Oklahoma,https://livingwage.mit.edu/counties/40045,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Ellis County,Oklahoma,https://livingwage.mit.edu/counties/40045,Minimum Wage
0,$13.23,$28.60,$35.52,$45.75,$22.45,$27.10,$30.71,$33.06,$11.23,$15.69,$19.64,$22.96,Garfield County,Oklahoma,https://livingwage.mit.edu/counties/40047,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Garfield County,Oklahoma,https://livingwage.mit.edu/counties/40047,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Garfield County,Oklahoma,https://livingwage.mit.edu/counties/40047,Minimum Wage
0,$13.28,$26.88,$33.04,$42.29,$21.89,$26.14,$29.75,$31.90,$10.94,$14.83,$18.40,$21.23,Garvin County,Oklahoma,https://livingwage.mit.edu/counties/40049,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Garvin County,Oklahoma,https://livingwage.mit.edu/counties/40049,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Garvin County,Oklahoma,https://livingwage.mit.edu/counties/40049,Minimum Wage
0,$13.18,$26.97,$33.12,$42.40,$21.79,$26.23,$29.84,$32.01,$10.89,$14.87,$18.44,$21.29,Grady County,Oklahoma,https://livingwage.mit.edu/counties/40051,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Grady County,Oklahoma,https://livingwage.mit.edu/counties/40051,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Grady County,Oklahoma,https://livingwage.mit.edu/counties/40051,Minimum Wage
0,$13.16,$27.01,$33.16,$41.70,$22.05,$26.27,$29.88,$31.31,$11.03,$14.90,$18.46,$20.94,Grant County,Oklahoma,https://livingwage.mit.edu/counties/40053,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Grant County,Oklahoma,https://livingwage.mit.edu/counties/40053,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Grant County,Oklahoma,https://livingwage.mit.edu/counties/40053,Minimum Wage
0,$13.32,$27.22,$33.38,$41.95,$21.98,$26.48,$30.10,$31.56,$10.99,$15.00,$18.57,$21.06,Greer County,Oklahoma,https://livingwage.mit.edu/counties/40055,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Greer County,Oklahoma,https://livingwage.mit.edu/counties/40055,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Greer County,Oklahoma,https://livingwage.mit.edu/counties/40055,Minimum Wage
0,$13.07,$26.88,$33.04,$41.56,$21.85,$26.14,$29.75,$31.16,$10.92,$14.83,$18.40,$20.86,Harmon County,Oklahoma,https://livingwage.mit.edu/counties/40057,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Harmon County,Oklahoma,https://livingwage.mit.edu/counties/40057,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Harmon County,Oklahoma,https://livingwage.mit.edu/counties/40057,Minimum Wage
0,$13.07,$26.88,$33.04,$42.48,$21.85,$26.14,$29.75,$32.09,$10.92,$14.83,$18.40,$21.33,Harper County,Oklahoma,https://livingwage.mit.edu/counties/40059,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Harper County,Oklahoma,https://livingwage.mit.edu/counties/40059,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Harper County,Oklahoma,https://livingwage.mit.edu/counties/40059,Minimum Wage
0,$13.11,$26.88,$33.04,$42.40,$21.73,$26.14,$29.75,$32.01,$10.86,$14.83,$18.40,$21.29,Haskell County,Oklahoma,https://livingwage.mit.edu/counties/40061,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Haskell County,Oklahoma,https://livingwage.mit.edu/counties/40061,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Haskell County,Oklahoma,https://livingwage.mit.edu/counties/40061,Minimum Wage
0,$13.07,$26.88,$33.04,$41.91,$21.73,$26.14,$29.75,$31.51,$10.86,$14.83,$18.40,$21.04,Hughes County,Oklahoma,https://livingwage.mit.edu/counties/40063,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Hughes County,Oklahoma,https://livingwage.mit.edu/counties/40063,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Hughes County,Oklahoma,https://livingwage.mit.edu/counties/40063,Minimum Wage
0,$12.93,$27.00,$33.16,$42.25,$22.00,$26.26,$29.88,$31.86,$11.00,$14.89,$18.46,$21.21,Jackson County,Oklahoma,https://livingwage.mit.edu/counties/40065,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Jackson County,Oklahoma,https://livingwage.mit.edu/counties/40065,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Jackson County,Oklahoma,https://livingwage.mit.edu/counties/40065,Minimum Wage
0,$12.61,$26.88,$33.04,$42.23,$21.73,$26.14,$29.75,$31.84,$10.86,$14.83,$18.40,$21.20,Jefferson County,Oklahoma,https://livingwage.mit.edu/counties/40067,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Jefferson County,Oklahoma,https://livingwage.mit.edu/counties/40067,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Jefferson County,Oklahoma,https://livingwage.mit.edu/counties/40067,Minimum Wage
0,$13.07,$26.88,$33.04,$41.68,$21.90,$26.14,$29.75,$31.29,$10.95,$14.83,$18.40,$20.93,Johnston County,Oklahoma,https://livingwage.mit.edu/counties/40069,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Johnston County,Oklahoma,https://livingwage.mit.edu/counties/40069,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Johnston County,Oklahoma,https://livingwage.mit.edu/counties/40069,Minimum Wage
0,$13.11,$27.65,$34.57,$44.49,$21.73,$26.14,$29.75,$31.80,$10.86,$15.21,$19.17,$22.33,Kay County,Oklahoma,https://livingwage.mit.edu/counties/40071,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Kay County,Oklahoma,https://livingwage.mit.edu/counties/40071,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Kay County,Oklahoma,https://livingwage.mit.edu/counties/40071,Minimum Wage
0,$13.19,$27.05,$33.20,$42.29,$22.45,$26.30,$29.92,$31.90,$11.23,$14.91,$18.48,$21.23,Kingfisher County,Oklahoma,https://livingwage.mit.edu/counties/40073,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Kingfisher County,Oklahoma,https://livingwage.mit.edu/counties/40073,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Kingfisher County,Oklahoma,https://livingwage.mit.edu/counties/40073,Minimum Wage
0,$13.07,$26.88,$33.04,$41.52,$21.73,$26.14,$29.75,$31.13,$10.86,$14.83,$18.40,$20.85,Kiowa County,Oklahoma,https://livingwage.mit.edu/counties/40075,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Kiowa County,Oklahoma,https://livingwage.mit.edu/counties/40075,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Kiowa County,Oklahoma,https://livingwage.mit.edu/counties/40075,Minimum Wage
0,$13.33,$26.88,$33.04,$41.71,$21.94,$26.14,$29.75,$31.32,$10.97,$14.83,$18.40,$20.94,Latimer County,Oklahoma,https://livingwage.mit.edu/counties/40077,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Latimer County,Oklahoma,https://livingwage.mit.edu/counties/40077,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Latimer County,Oklahoma,https://livingwage.mit.edu/counties/40077,Minimum Wage
0,$13.28,$26.88,$33.04,$41.80,$21.90,$26.14,$29.75,$31.41,$10.95,$14.83,$18.40,$20.99,Le Flore County,Oklahoma,https://livingwage.mit.edu/counties/40079,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Le Flore County,Oklahoma,https://livingwage.mit.edu/counties/40079,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Le Flore County,Oklahoma,https://livingwage.mit.edu/counties/40079,Minimum Wage
0,$13.16,$26.88,$33.04,$42.14,$21.77,$26.14,$29.75,$31.75,$10.88,$14.83,$18.40,$21.16,Lincoln County,Oklahoma,https://livingwage.mit.edu/counties/40081,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Lincoln County,Oklahoma,https://livingwage.mit.edu/counties/40081,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Lincoln County,Oklahoma,https://livingwage.mit.edu/counties/40081,Minimum Wage
0,$14.30,$29.22,$36.14,$46.50,$23.17,$27.71,$31.33,$33.81,$11.59,$16.00,$19.95,$23.34,Logan County,Oklahoma,https://livingwage.mit.edu/counties/40083,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Logan County,Oklahoma,https://livingwage.mit.edu/counties/40083,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Logan County,Oklahoma,https://livingwage.mit.edu/counties/40083,Minimum Wage
0,$13.47,$27.09,$33.24,$41.78,$22.08,$26.35,$29.96,$31.39,$11.04,$14.93,$18.50,$20.98,Love County,Oklahoma,https://livingwage.mit.edu/counties/40085,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Love County,Oklahoma,https://livingwage.mit.edu/counties/40085,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Love County,Oklahoma,https://livingwage.mit.edu/counties/40085,Minimum Wage
0,$13.07,$26.88,$33.04,$41.52,$21.79,$26.14,$29.75,$31.13,$10.89,$14.83,$18.40,$20.85,Major County,Oklahoma,https://livingwage.mit.edu/counties/40093,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Major County,Oklahoma,https://livingwage.mit.edu/counties/40093,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Major County,Oklahoma,https://livingwage.mit.edu/counties/40093,Minimum Wage
0,$12.61,$27.65,$34.57,$43.82,$21.73,$26.14,$29.75,$31.13,$10.86,$15.21,$19.17,$22.00,Marshall County,Oklahoma,https://livingwage.mit.edu/counties/40095,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Marshall County,Oklahoma,https://livingwage.mit.edu/counties/40095,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Marshall County,Oklahoma,https://livingwage.mit.edu/counties/40095,Minimum Wage
0,$13.15,$27.00,$33.16,$42.04,$21.82,$26.26,$29.88,$31.65,$10.91,$14.89,$18.46,$21.11,Mayes County,Oklahoma,https://livingwage.mit.edu/counties/40097,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Mayes County,Oklahoma,https://livingwage.mit.edu/counties/40097,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Mayes County,Oklahoma,https://livingwage.mit.edu/counties/40097,Minimum Wage
0,$14.30,$28.45,$34.61,$44.20,$23.17,$27.71,$31.33,$33.81,$11.59,$15.62,$19.18,$22.19,McClain County,Oklahoma,https://livingwage.mit.edu/counties/40087,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,McClain County,Oklahoma,https://livingwage.mit.edu/counties/40087,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,McClain County,Oklahoma,https://livingwage.mit.edu/counties/40087,Minimum Wage
0,$12.64,$26.88,$33.04,$41.79,$21.73,$26.14,$29.75,$31.40,$10.86,$14.83,$18.40,$20.98,McCurtain County,Oklahoma,https://livingwage.mit.edu/counties/40089,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,McCurtain County,Oklahoma,https://livingwage.mit.edu/counties/40089,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,McCurtain County,Oklahoma,https://livingwage.mit.edu/counties/40089,Minimum Wage
0,$13.10,$26.88,$33.04,$42.48,$22.31,$26.14,$29.75,$32.09,$11.16,$14.83,$18.40,$21.33,McIntosh County,Oklahoma,https://livingwage.mit.edu/counties/40091,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,McIntosh County,Oklahoma,https://livingwage.mit.edu/counties/40091,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,McIntosh County,Oklahoma,https://livingwage.mit.edu/counties/40091,Minimum Wage
0,$13.50,$26.88,$33.04,$41.76,$22.12,$26.14,$29.75,$31.37,$11.06,$14.83,$18.40,$20.97,Murray County,Oklahoma,https://livingwage.mit.edu/counties/40099,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Murray County,Oklahoma,https://livingwage.mit.edu/counties/40099,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Murray County,Oklahoma,https://livingwage.mit.edu/counties/40099,Minimum Wage
0,$12.61,$26.88,$33.04,$42.03,$21.78,$26.14,$29.75,$31.64,$10.89,$14.83,$18.40,$21.10,Muskogee County,Oklahoma,https://livingwage.mit.edu/counties/40101,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Muskogee County,Oklahoma,https://livingwage.mit.edu/counties/40101,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Muskogee County,Oklahoma,https://livingwage.mit.edu/counties/40101,Minimum Wage
0,$13.07,$26.88,$33.04,$42.48,$22.31,$26.14,$29.75,$32.09,$11.16,$14.83,$18.40,$21.33,Noble County,Oklahoma,https://livingwage.mit.edu/counties/40103,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Noble County,Oklahoma,https://livingwage.mit.edu/counties/40103,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Noble County,Oklahoma,https://livingwage.mit.edu/counties/40103,Minimum Wage
